Codice A Barre;Codice Articolo;Descrizione;Descrizione;Classe Logistica;Descrizione Articolo;Codice Marca;Codice Listino;Prezzo;colore;taglia;Quantita' Giacenza (um Magazzino);Tipo;MARCHIO
8056309758113;EFRJB1911AC250;BENSON;;;GIUBBINO JUNIOR BOY FREEDOMDAY BENSON;S22;ITA;80,000000;013;12;1,0000;2;
8056309758120;EFRJB1911AC250;BENSON;;;GIUBBINO JUNIOR BOY FREEDOMDAY BENSON;S22;EU1;92,000000;013;14;1,0000;2;
8056309758168;EFRJB1911AC250;BENSON;;;GIUBBINO JUNIOR BOY FREEDOMDAY BENSON;S22;ITA;80,000000;041;6;0,0000;2;
8056309758182;EFRJB1911AC250;BENSON;;;GIUBBINO JUNIOR BOY FREEDOMDAY BENSON;S22;EU2;88,000000;041;10;0,0000;2;
8056309758229;EFRJB1911AC250;BENSON;;;GIUBBINO JUNIOR BOY FREEDOMDAY BENSON;S22;EU1;92,000000;114;2;2,0000;2;
8056309758304;EFRJB1912AC521;RUSSEL;;;GIUBBINO JUNIOR BOY FREEDOMDAY RUSSEL Reversible;S22;EU2;60,500000;013;2;1,0000;2;
8056309758335;EFRJB1912AC521;RUSSEL;;;GIUBBINO JUNIOR BOY FREEDOMDAY RUSSEL Reversible;S22;EU2;60,500000;013;8;1,0000;2;
8056309758342;EFRJB1912AC521;RUSSEL;;;GIUBBINO JUNIOR BOY FREEDOMDAY RUSSEL Reversible;S22;EU2;60,500000;013;10;3,0000;2;
8056309758380;EFRJB1912AC521;RUSSEL;;;GIUBBINO JUNIOR BOY FREEDOMDAY RUSSEL Reversible;S22;EU1;63,500000;031;2;1,0000;2;
8056309758410;EFRJB1912AC521;RUSSEL;;;GIUBBINO JUNIOR BOY FREEDOMDAY RUSSEL Reversible;S22;ITA;55,000000;031;8;1,0000;2;
8056309758489;EFRJB1912AC521;RUSSEL;;;GIUBBINO JUNIOR BOY FREEDOMDAY RUSSEL Reversible;S22;EU2;60,500000;041;6;1,0000;2;
8056309758496;EFRJB1912AC521;RUSSEL;;;GIUBBINO JUNIOR BOY FREEDOMDAY RUSSEL Reversible;S22;ITA;55,000000;041;8;2,0000;2;
8056309758502;EFRJB1912AC521;RUSSEL;;;GIUBBINO JUNIOR BOY FREEDOMDAY RUSSEL Reversible;S22;EU2;60,500000;041;10;1,0000;2;
8056309758519;EFRJB1912AC521;RUSSEL;;;GIUBBINO JUNIOR BOY FREEDOMDAY RUSSEL Reversible;S22;EU1;63,500000;041;12;1,0000;2;
8056309758519;EFRJB1912AC521;RUSSEL;;;GIUBBINO JUNIOR BOY FREEDOMDAY RUSSEL Reversible;S22;ITA;55,000000;041;12;1,0000;2;
8056309758588;EFRJB1912AC521;RUSSEL;;;GIUBBINO JUNIOR BOY FREEDOMDAY RUSSEL Reversible;S22;EU1;63,500000;044;10;0,0000;2;
8056309758601;EFRJB1912AC521;RUSSEL;;;GIUBBINO JUNIOR BOY FREEDOMDAY RUSSEL Reversible;S22;EU1;63,500000;044;14;0,0000;2;
8056309758601;EFRJB1912AC521;RUSSEL;;;GIUBBINO JUNIOR BOY FREEDOMDAY RUSSEL Reversible;S22;ITA;55,000000;044;14;0,0000;2;
8056309758649;EFRJB1913AC187-ED;COLIN;ECO DOWN\IMBOTT. SINTETICA;ED;GIUBBINO JUNIOR BOY FREEDOMDAY COLIN EcoDown Rev.;S22;EU1;63,500000;000;6;1,0000;2;
8056309755402;EOTM170AC92;;;;CAMICIA UOMO OUTHERE EOTM170AC92 Mini Check;S22;EU1;69,000000;010;L;0,0000;3;
8056309754122;EFRM1441AC380;FOSTER;;;BUSTA UOMO FREEDOMDAY FOSTER;S22;EU1;9,000000;000;TU;371,0000;3;
8056309754474;EOTM211AC36;;;;SHORTS UOMO OUTHERE EOTM211AC36 Transit Series;S22;EU2;56,000000;415;XXL;0,0000;3;
8056309755402;EOTM170AC92;;;;CAMICIA UOMO OUTHERE EOTM170AC92 Mini Check;S22;EU2;66,000000;010;L;0,0000;3;
8056309758656;EFRJB1913AC187-ED;COLIN;ECO DOWN\IMBOTT. SINTETICA;ED;GIUBBINO JUNIOR BOY FREEDOMDAY COLIN EcoDown Rev.;S22;EU1;63,500000;000;8;3,0000;2;
8056309758663;EFRJB1913AC187-ED;COLIN;ECO DOWN\IMBOTT. SINTETICA;ED;GIUBBINO JUNIOR BOY FREEDOMDAY COLIN EcoDown Rev.;S22;EU2;60,500000;000;10;3,0000;2;
8056309758670;EFRJB1913AC187-ED;COLIN;ECO DOWN\IMBOTT. SINTETICA;ED;GIUBBINO JUNIOR BOY FREEDOMDAY COLIN EcoDown Rev.;S22;EU1;63,500000;000;12;2,0000;2;
8056309758670;EFRJB1913AC187-ED;COLIN;ECO DOWN\IMBOTT. SINTETICA;ED;GIUBBINO JUNIOR BOY FREEDOMDAY COLIN EcoDown Rev.;S22;ITA;55,000000;000;12;2,0000;2;
8056309758694;EFRJB1913AC187-ED;COLIN;ECO DOWN\IMBOTT. SINTETICA;ED;GIUBBINO JUNIOR BOY FREEDOMDAY COLIN EcoDown Rev.;S22;EU1;63,500000;000;16;2,0000;2;
8056309758694;EFRJB1913AC187-ED;COLIN;ECO DOWN\IMBOTT. SINTETICA;ED;GIUBBINO JUNIOR BOY FREEDOMDAY COLIN EcoDown Rev.;S22;ITA;55,000000;000;16;2,0000;2;
8056309758717;EFRJB1913AC187-ED;COLIN;ECO DOWN\IMBOTT. SINTETICA;ED;GIUBBINO JUNIOR BOY FREEDOMDAY COLIN EcoDown Rev.;S22;ITA;55,000000;013;4;1,0000;2;
8056309758724;EFRJB1913AC187-ED;COLIN;ECO DOWN\IMBOTT. SINTETICA;ED;GIUBBINO JUNIOR BOY FREEDOMDAY COLIN EcoDown Rev.;S22;EU1;63,500000;013;6;2,0000;2;
8056309758724;EFRJB1913AC187-ED;COLIN;ECO DOWN\IMBOTT. SINTETICA;ED;GIUBBINO JUNIOR BOY FREEDOMDAY COLIN EcoDown Rev.;S22;ITA;55,000000;013;6;2,0000;2;
8056309758762;EFRJB1913AC187-ED;COLIN;ECO DOWN\IMBOTT. SINTETICA;ED;GIUBBINO JUNIOR BOY FREEDOMDAY COLIN EcoDown Rev.;S22;EU1;63,500000;013;14;1,0000;2;
8056309758762;EFRJB1913AC187-ED;COLIN;ECO DOWN\IMBOTT. SINTETICA;ED;GIUBBINO JUNIOR BOY FREEDOMDAY COLIN EcoDown Rev.;S22;ITA;55,000000;013;14;1,0000;2;
8056309758793;EFRJB1913AC187-ED;COLIN;ECO DOWN\IMBOTT. SINTETICA;ED;GIUBBINO JUNIOR BOY FREEDOMDAY COLIN EcoDown Rev.;S22;EU2;60,500000;041;4;0,0000;2;
8056309758809;EFRJB1913AC187-ED;COLIN;ECO DOWN\IMBOTT. SINTETICA;ED;GIUBBINO JUNIOR BOY FREEDOMDAY COLIN EcoDown Rev.;S22;ITA;55,000000;041;6;1,0000;2;
8056309758816;EFRJB1913AC187-ED;COLIN;ECO DOWN\IMBOTT. SINTETICA;ED;GIUBBINO JUNIOR BOY FREEDOMDAY COLIN EcoDown Rev.;S22;EU1;63,500000;041;8;1,0000;2;
8056309758823;EFRJB1913AC187-ED;COLIN;ECO DOWN\IMBOTT. SINTETICA;ED;GIUBBINO JUNIOR BOY FREEDOMDAY COLIN EcoDown Rev.;S22;EU1;63,500000;041;10;1,0000;2;
8056309758823;EFRJB1913AC187-ED;COLIN;ECO DOWN\IMBOTT. SINTETICA;ED;GIUBBINO JUNIOR BOY FREEDOMDAY COLIN EcoDown Rev.;S22;ITA;55,000000;041;10;1,0000;2;
8056309758885;EFRJB1913AC187-ED;COLIN;ECO DOWN\IMBOTT. SINTETICA;ED;GIUBBINO JUNIOR BOY FREEDOMDAY COLIN EcoDown Rev.;S22;ITA;55,000000;044;6;2,0000;2;
8056309758939;EFRJB1913AC187-ED;COLIN;ECO DOWN\IMBOTT. SINTETICA;ED;GIUBBINO JUNIOR BOY FREEDOMDAY COLIN EcoDown Rev.;S22;EU1;63,500000;044;16;2,0000;2;
8056309759004;EFRJB1915AC187-ED;RILEY;ECO DOWN\IMBOTT. SINTETICA;ED;GIUBBINO JUNIOR BOY FREEDOMDAY RILEY EcoDown Rev.;S22;EU1;63,500000;000;14;0,0000;2;
8056309759035;EFRJB1915AC187-ED;RILEY;ECO DOWN\IMBOTT. SINTETICA;ED;GIUBBINO JUNIOR BOY FREEDOMDAY RILEY EcoDown Rev.;S22;EU1;63,500000;013;4;0,0000;2;
8056309759042;EFRJB1915AC187-ED;RILEY;ECO DOWN\IMBOTT. SINTETICA;ED;GIUBBINO JUNIOR BOY FREEDOMDAY RILEY EcoDown Rev.;S22;ITA;55,000000;013;6;0,0000;2;
8056309759103;EFRJB1915AC187-ED;RILEY;ECO DOWN\IMBOTT. SINTETICA;ED;GIUBBINO JUNIOR BOY FREEDOMDAY RILEY EcoDown Rev.;S22;ITA;55,000000;114;2;0,0000;2;
8056309759141;EFRJB1915AC187-ED;RILEY;ECO DOWN\IMBOTT. SINTETICA;ED;GIUBBINO JUNIOR BOY FREEDOMDAY RILEY EcoDown Rev.;S22;ITA;55,000000;114;10;0,0000;2;
8056309759165;EFRJB1915AC187-ED;RILEY;ECO DOWN\IMBOTT. SINTETICA;ED;GIUBBINO JUNIOR BOY FREEDOMDAY RILEY EcoDown Rev.;S22;EU1;63,500000;114;14;0,0000;2;
8056309759189;EFRJB1918AC222;PATRICK;;;GIUBBINO JUNIOR BOY FREEDOMDAY PATRICK;S22;EU2;49,500000;013;2;3,0000;2;
8056309759257;EFRJB1918AC222;PATRICK;;;GIUBBINO JUNIOR BOY FREEDOMDAY PATRICK;S22;EU1;51,800000;013;16;6,0000;2;
8056309759257;EFRJB1918AC222;PATRICK;;;GIUBBINO JUNIOR BOY FREEDOMDAY PATRICK;S22;ITA;45,000000;013;16;6,0000;2;
8056309759295;EFRJB1918AC222;PATRICK;;;GIUBBINO JUNIOR BOY FREEDOMDAY PATRICK;S22;EU1;51,800000;044;8;5,0000;2;
8056309759332;EFRJB1918AC222;PATRICK;;;GIUBBINO JUNIOR BOY FREEDOMDAY PATRICK;S22;EU1;51,800000;044;16;4,0000;2;
8056309759332;EFRJB1918AC222;PATRICK;;;GIUBBINO JUNIOR BOY FREEDOMDAY PATRICK;S22;ITA;45,000000;044;16;4,0000;2;
8056309759349;EFRJB1921AC212;JONA;;;GIUBBINO JUNIOR BOY FREEDOMDAY JONA F.L.;S22;EU2;60,500000;000;2;0,0000;2;
8056309759394;EFRJB1921AC212;JONA;;;GIUBBINO JUNIOR BOY FREEDOMDAY JONA F.L.;S22;EU1;63,500000;000;12;1,0000;2;
8056309759394;EFRJB1921AC212;JONA;;;GIUBBINO JUNIOR BOY FREEDOMDAY JONA F.L.;S22;ITA;55,000000;000;12;1,0000;2;
8056309759424;EFRJB1921AC212;JONA;;;GIUBBINO JUNIOR BOY FREEDOMDAY JONA F.L.;S22;EU1;63,500000;013;2;0,0000;2;
8056309759424;EFRJB1921AC212;JONA;;;GIUBBINO JUNIOR BOY FREEDOMDAY JONA F.L.;S22;ITA;55,000000;013;2;0,0000;2;
8056309759479;EFRJB1921AC212;JONA;;;GIUBBINO JUNIOR BOY FREEDOMDAY JONA F.L.;S22;EU2;60,500000;013;12;0,0000;2;
8056309759509;EFRJB1921AC212;JONA;;;GIUBBINO JUNIOR BOY FREEDOMDAY JONA F.L.;S22;EU1;63,500000;020;2;1,0000;2;
8056309759530;EFRJB1921AC212;JONA;;;GIUBBINO JUNIOR BOY FREEDOMDAY JONA F.L.;S22;EU2;60,500000;020;8;1,0000;2;
8056309759592;EFRJB1922AC205;ARCHIE;;;GIUBBINO JUNIOR BOY FREEDOMDAY ARCHIE F.L. Suede;S22;ITA;55,000000;013;4;0,0000;2;
8056309759608;EFRJB1922AC205;ARCHIE;;;GIUBBINO JUNIOR BOY FREEDOMDAY ARCHIE F.L. Suede;S22;EU2;60,500000;013;6;0,0000;2;
8056309759615;EFRJB1922AC205;ARCHIE;;;GIUBBINO JUNIOR BOY FREEDOMDAY ARCHIE F.L. Suede;S22;ITA;55,000000;013;8;1,0000;2;
8056309759639;EFRJB1922AC205;ARCHIE;;;GIUBBINO JUNIOR BOY FREEDOMDAY ARCHIE F.L. Suede;S22;EU2;60,500000;013;12;1,0000;2;
8056309754115;EFRM1440AC380;AVERY;;;ZAINO UOMO FREEDOMDAY AVERY;S22;EU1;22,500000;000;TU;474,0000;3;
8056309754474;EOTM211AC36;;;;SHORTS UOMO OUTHERE EOTM211AC36 Transit Series;S22;EU1;59,000000;415;XXL;0,0000;3;
8056309754474;EOTM211AC36;;;;SHORTS UOMO OUTHERE EOTM211AC36 Transit Series;S22;ITA;51,000000;415;XXL;0,0000;3;
8056309754115;EFRM1440AC380;AVERY;;;ZAINO UOMO FREEDOMDAY AVERY;S22;ITA;19,500000;000;TU;474,0000;3;
8056309756799;EFRJB1904AC250;BLAZE;;;GIUBBINO JUNIOR BOY FREEDOMDAY BLAZE;S22;EU1;92,000000;000;4;0,0000;2;
8056309756812;EFRJB1904AC250;BLAZE;;;GIUBBINO JUNIOR BOY FREEDOMDAY BLAZE;S22;EU1;92,000000;000;8;0,0000;2;
8056309756843;EFRJB1904AC250;BLAZE;;;GIUBBINO JUNIOR BOY FREEDOMDAY BLAZE;S22;EU1;92,000000;000;14;0,0000;2;
8056309756850;EFRJB1904AC250;BLAZE;;;GIUBBINO JUNIOR BOY FREEDOMDAY BLAZE;S22;EU2;88,000000;000;16;0,0000;2;
8056309756867;EFRJB1904AC250;BLAZE;;;GIUBBINO JUNIOR BOY FREEDOMDAY BLAZE;S22;EU2;88,000000;013;2;0,0000;2;
8056309756874;EFRJB1904AC250;BLAZE;;;GIUBBINO JUNIOR BOY FREEDOMDAY BLAZE;S22;EU1;92,000000;013;4;0,0000;2;
8056309756928;EFRJB1904AC250;BLAZE;;;GIUBBINO JUNIOR BOY FREEDOMDAY BLAZE;S22;ITA;80,000000;013;14;0,0000;2;
8056309756959;EFRJB1904AC250;BLAZE;;;GIUBBINO JUNIOR BOY FREEDOMDAY BLAZE;S22;EU1;92,000000;041;4;0,0000;2;
8056309756966;EFRJB1904AC250;BLAZE;;;GIUBBINO JUNIOR BOY FREEDOMDAY BLAZE;S22;EU1;92,000000;041;6;0,0000;2;
8056309756980;EFRJB1904AC250;BLAZE;;;GIUBBINO JUNIOR BOY FREEDOMDAY BLAZE;S22;ITA;80,000000;041;10;0,0000;2;
8056309757017;EFRJB1904AC250;BLAZE;;;GIUBBINO JUNIOR BOY FREEDOMDAY BLAZE;S22;EU1;92,000000;041;16;0,0000;2;
8056309757062;EFRJB1905AC404;CHUCK;;;GIUBBINO JUNIOR BOY FREEDOMDAY CHUCK;S22;ITA;83,000000;013;10;0,0000;2;
8056309757086;EFRJB1905AC404;CHUCK;;;GIUBBINO JUNIOR BOY FREEDOMDAY CHUCK;S22;EU1;95,500000;013;14;0,0000;2;
8056309757109;EFRJB1905AC404;CHUCK;;;GIUBBINO JUNIOR BOY FREEDOMDAY CHUCK;S22;EU1;95,500000;041;2;0,0000;2;
8056309757116;EFRJB1905AC404;CHUCK;;;GIUBBINO JUNIOR BOY FREEDOMDAY CHUCK;S22;EU1;95,500000;041;4;0,0000;2;
8056309757116;EFRJB1905AC404;CHUCK;;;GIUBBINO JUNIOR BOY FREEDOMDAY CHUCK;S22;EU2;91,500000;041;4;0,0000;2;
8056309757185;EFRJB1905AC404;CHUCK;;;GIUBBINO JUNIOR BOY FREEDOMDAY CHUCK;S22;EU1;95,500000;044;2;0,0000;2;
8056309757192;EFRJB1905AC404;CHUCK;;;GIUBBINO JUNIOR BOY FREEDOMDAY CHUCK;S22;EU2;91,500000;044;4;0,0000;2;
8056309757215;EFRJB1905AC404;CHUCK;;;GIUBBINO JUNIOR BOY FREEDOMDAY CHUCK;S22;EU1;95,500000;044;8;0,0000;2;
8056309757239;EFRJB1905AC404;CHUCK;;;GIUBBINO JUNIOR BOY FREEDOMDAY CHUCK;S22;EU2;91,500000;044;12;0,0000;2;
8056309757307;EFRJB1907AC180;AVIER;;;GIUBBINO JUNIOR BOY FREEDOMDAY AVIER;S22;EU2;60,500000;000;10;0,0000;2;
8056309757314;EFRJB1907AC180;AVIER;;;GIUBBINO JUNIOR BOY FREEDOMDAY AVIER;S22;EU1;63,500000;000;12;0,0000;2;
8056309757314;EFRJB1907AC180;AVIER;;;GIUBBINO JUNIOR BOY FREEDOMDAY AVIER;S22;ITA;55,000000;000;12;0,0000;2;
8056309757390;EFRJB1907AC180;AVIER;;;GIUBBINO JUNIOR BOY FREEDOMDAY AVIER;S22;EU2;60,500000;013;12;1,0000;2;
8056309757444;EFRJB1907AC180;AVIER;;;GIUBBINO JUNIOR BOY FREEDOMDAY AVIER;S22;EU2;60,500000;041;6;1,0000;2;
8056309757499;EFRJB1907AC180;AVIER;;;GIUBBINO JUNIOR BOY FREEDOMDAY AVIER;S22;EU2;60,500000;041;16;1,0000;2;
8056309757529;EFRJB1907AC180;AVIER;;;GIUBBINO JUNIOR BOY FREEDOMDAY AVIER;S22;EU1;63,500000;044;6;1,0000;2;
8056309757529;EFRJB1907AC180;AVIER;;;GIUBBINO JUNIOR BOY FREEDOMDAY AVIER;S22;EU2;60,500000;044;6;1,0000;2;
8056309754122;EFRM1441AC380;FOSTER;;;BUSTA UOMO FREEDOMDAY FOSTER;S22;EU2;8,500000;000;TU;371,0000;3;
8056309755976;EOTM108AC80;;;;T-SHIRT UOMO OUTHERE EOTM108AC80;S22;EU1;27,000000;112;L;10,0000;3;
8056309756782;EFRJB1904AC250;BLAZE;;;GIUBBINO JUNIOR BOY FREEDOMDAY BLAZE;S22;EU1;92,000000;000;2;0,0000;2;
8056309756812;EFRJB1904AC250;BLAZE;;;GIUBBINO JUNIOR BOY FREEDOMDAY BLAZE;S22;EU2;88,000000;000;8;0,0000;2;
8056309756836;EFRJB1904AC250;BLAZE;;;GIUBBINO JUNIOR BOY FREEDOMDAY BLAZE;S22;EU2;88,000000;000;12;0,0000;2;
